This is the complete list of games supported by MAME 0.37 BETA 1 (Apr  6 2000)
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Captain Silver                   |  Yes  |  Yes  |  Yes  |   No  | csilver  |
| Carnival                         |  Yes  |  Yes  |  Yes  |  Yes  | carnival |
| Carrier Air Wing                 |  Yes  |  Yes  |  Yes  |  Yes  | cawing   |
| Caveman Ninja                    |  Yes  |  Yes  |  Yes  |  Yes  | cninja   |
| Centipede                        |  Yes  |  Yes  |  Yes  |  Yes  | centiped |
| Challenger                       |  Yes  |  Yes  |  Yes  |  Yes  | challeng |
| Champion Baseball                |  Yes  |  Yes  |  Yes  |  Yes  | champbas |
| Champion Baseball II             |   No  |  Yes  |  Yes  |  Yes  | champbb2 |
| Champion Wrestler                |  Yes  |  Yes  |   No  |  Yes  | champwr  |
| Championship Sprint              |  Yes  |  Yes  |  Yes  |  Yes  | csprint  |
| Changes                          |  Yes  |  Yes  |  Yes  |  Yes  | changes  |
| Checkman                         |  Yes  |  Yes  |  Yes  |  Yes  | checkman |
| Checkmate                        |  Yes  |  Yes  |   No  |  Yes  | checkmat |
| Cheeky Mouse                     |  Yes  |   No  |Partial|  Yes  | cheekyms |
| Chelnov - Atomic Runner          |  Yes  |  Yes  |  Yes  |   No  | chelnov  |
| Cheyenne                         |  Yes  |  Yes  |  Yes  |  Yes  | cheyenne |
| Chibi Marukochan Deluxe Quiz     |  Yes  |  Yes  |  Yes  |  Yes  | marukodq |
| Chicken Shift                    |  Yes  |  Yes  |  Yes  |  Yes  | cshift   |
| Chiller                          |  Yes  |  Yes  |  Yes  |  Yes  | chiller  |
| Chimera Beast                    |  Yes  |  Yes  |  Yes  |  Yes  | chimerab |
| Choplifter                       | No(1) |  Yes  |  Yes  |   No  | chplft   |
| Chopper I                        |  Yes  |  Yes  |Partial|   No  | chopper  |
| Chuka Taisen                     |  Yes  |  Yes  |  Yes  |  Yes  | chukatai |
| Circus                           |  Yes  |  Yes  |Partial|  Yes  | circus   |
| Circus Charlie                   |  Yes  |  Yes  |  Yes  |  Yes  | circusc  |
| Cisco Heat                       |  Yes  |  Yes  |  Yes  |  Yes  | cischeat |
| City Connection                  |  Yes  |  Yes  |  Yes  |  Yes  | citycon  |
| Clay Pigeon                      |  Yes  |  Yes  |  Yes  |  Yes  | claypign |
| Cloak & Dagger                   |  Yes  |  Yes  |  Yes  |   No  | cloak    |
| Cloud 9                          |  Yes  |  Yes  |  Yes  |   No  | cloud9   |
| Clowns                           |  Yes  |  Yes  |   No  |  Yes  | clowns   |
| Cobra-Command                    |  Yes  |  Yes  |  Yes  |   No  | cobracom |
| Colony 7                         |  Yes  |  Yes  |  Yes  |  Yes  | colony7  |
| Combat                           |  Yes  |  Yes  |  Yes  |  Yes  | combat   |
| Combat School                    |  Yes  |  Yes  |  Yes  |  Yes  | combasc  |
| Combatribes, The                 |  Yes  |  Yes  |  Yes  |   No  | ctribe   |
| Commando                         |  Yes  |  Yes  |  Yes  |  Yes  | commando |
| Commando                         |  Yes  |  Yes  |  Yes  |  Yes  | commsega |
| Comotion                         |  Yes  |  Yes  |Part(2)|   No  | comotion |
| Congo Bongo                      |  Yes  |  Yes  | Yes(2)|  Yes  | congo    |
| Contra                           |  Yes  |  Yes  |  Yes  |  Yes  | contra   |
| Cop 01                           |  Yes  | Close |  Yes  |  Yes  | cop01    |
| Cops'n Robbers                   |  Yes  |  Yes  |   No  |  Yes  | copsnrob |
| Cosmic Alien                     |  Yes  |  Yes  |   No  |  Yes  | cosmica  |
| Cosmic Avenger                   |  Yes  |  Yes  |  Yes  |  Yes  | cavenger |
| Cosmic Chasm                     |  Yes  |  Yes  |  Yes  |  Yes  | cchasm   |
| Cosmic Guerilla                  |  Yes  |  Yes  | Yes(2)|  Yes  | cosmicg  |
| Cosmo Gang the Video             |  Yes  |  Yes  |  Yes  |  Yes  | cosmogng |
| Crackshot                        |  Yes  |  Yes  |  Yes  |  Yes  | cracksht |
| Crash                            |  Yes  |  Yes  |Partial|  Yes  | crash    |
| Crater Raider                    |  Yes  |  Yes  |  Yes  |  Yes  | crater   |
| Crazy Balloon                    |  Yes  |  Yes  |Partial|  Yes  | crbaloon |
| Crazy Climber                    |  Yes  |  Yes  |  Yes  |  Yes  | cclimber |
| Crazy Climber 2                  |  Yes  |  Yes  |  Yes  |   No  | cclimbr2 |
| Crazy Kong                       |  Yes  |  Yes  |  Yes  |  Yes  | ckong    |
| Crime Fighters                   |  Yes  |  Yes  |  Yes  |  Yes  | crimfght |
| Crossbow                         |  Yes  |  Yes  |  Yes  |  Yes  | crossbow |
| Crossed Swords                   |  Yes  |  Yes  |  Yes  |  Yes  | crsword  |
| Crude Buster                     |  Yes  |  Yes  |  Yes  |  Yes  | cbuster  |
| Crush Roller                     |  Yes  |  Yes  |  Yes  |  Yes  | crush    |
| Crystal Castles                  |  Yes  |  Yes  |  Yes  |  Yes  | ccastles |
| Cuebrick                         |  Yes  |  Yes  |  Yes  |  Yes  | cuebrick |
| Curve Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | curvebal |
| Cutie Q                          |  Yes  |  Yes  |  Yes  |   No  | cutieq   |
| Cybattler                        |  Yes  |  Yes  |  Yes  |  Yes  | cybattlr |
| Cyber-Lip                        |  Yes  |  Yes  |  Yes  |  Yes  | cyberlip |
| Cyberball                        |  Yes  |  Yes  |  Yes  |  Yes  | cyberbal |
| D-Con                            |  Yes  |  Yes  |  Yes  |   No  | dcon     |
| D-Day                            |  Yes  | Close |  Yes  |  Yes  | dday     |
| DakkoChan Jansoh                 |   No  |  Yes  |  Yes  |   No  | dakkochn |
| Dangar - Ufo Robo                |  Yes  |  Yes  |  Yes  |  Yes  | dangar   |
| Dangerous Seed                   |  Yes  |  Yes  |  Yes  |  Yes  | dangseed |
| Dark Planet                      |   No  |  Yes  |  Yes  |  Yes  | darkplnt |
| Dark Seal                        |  Yes  |  Yes  |  Yes  |   No  | darkseal |
| Darwin 4078                      |  Yes  |  Yes  |  Yes  |  Yes  | darwin   |
| Datsun 280 Zzzap                 |  Yes  |  Yes  |   No  |  Yes  | 280zzzap |
| Dead Eye                         |  Yes  |  Yes  |  Yes  |  Yes  | deadeye  |
| Defend the Terra Attack on the Re|  Yes  |  Yes  |  Yes  |  Yes  | redufo   |
| Defender                         |  Yes  |  Yes  |  Yes  |  Yes  | defender |
| Demolition Derby                 |  Yes  |  Yes  |  Yes  |  Yes  | destderb |
| Demon                            |  Yes  |  Yes  | Yes(2)|  Yes  | demon    |
| Demon's World / Horror Story     |  Yes  |  Yes  |  Yes  |  Yes  | demonwld |
| Depthcharge                      |  Yes  |  Yes  |  Yes  |  Yes  | depthch  |
| Desert Gun                       |  Yes  |  Yes  |   No  |  Yes  | desertgu |
| Devastators                      |  Yes  |  Yes  |  Yes  |  Yes  | devstors |
| Devil Fish                       |  Yes  |  Yes  |  Yes  |  Yes  | devilfsh |
| Devil World                      |  Yes  |  Yes  |  Yes  |  Yes  | devilw   |
| Devil Zone                       |  Yes  |  Yes  |Partial|  Yes  | devzone  |
| Diamond Run                      |  Yes  |  Yes  |  Yes  |  Yes  | diamond  |
| Dig Dug                          |  Yes  |  Yes  |  Yes  |  Yes  | digdug   |
| Dig Dug II                       |  Yes  |  Yes  |  Yes  |  Yes  | digdug2  |
| Digger                           |  Yes  |  Yes  |   No  |  Yes  | digger   |
| Disco No.1                       |  Yes  |  Yes  |  Yes  |  Yes  | disco    |
| Discs of Tron                    |  Yes  |  Yes  |  Yes  |  Yes  | dotron   |
| Do! Run Run                      |  Yes  |  Yes  |  Yes  |  Yes  | dorunrun |
| Dog Fight                        |  Yes  | Close |  Yes  |  Yes  | dogfight |
| Dog Patch                        |  Yes  |  Yes  |   No  |  Yes  | dogpatch |
| Dogyuun                          |  Yes  |  Yes  |   No  |  Yes  | dogyuun  |
| Dokaben                          |  Yes  |  Yes  |  Yes  |  Yes  | dokaben  |
| Domino Man                       |  Yes  |  Yes  |  Yes  |  Yes  | domino   |
| Dominos                          |  Yes  |  Yes  |   No  |  Yes  | dominos  |
| Donkey Kong                      |  Yes  |  Yes  | Yes(2)|  Yes  | dkong    |
| Donkey Kong 3                    |  Yes  |  Yes  |  Yes  |  Yes  | dkong3   |
| Donkey Kong Junior               |  Yes  |  Yes  | Yes(2)|  Yes  | dkongjr  |
| Dottori Kun                      |  Yes  |  Yes  |  Yes  |  Yes  | dotrikun |
| Double Dragon                    |  Yes  |  Yes  |  Yes  |  Yes  | doubledr |
| Double Dragon                    | No(1) |  Yes  |  Yes  |  Yes  | ddragon  |
| Double Dragon 3 - The Rosetta Sto|  Yes  |  Yes  |  Yes  |   No  | ddragon3 |
| Double Dragon II - The Revenge   |  Yes  |  Yes  |  Yes  |  Yes  | ddragon2 |
| Double Dribble                   |  Yes  |  Yes  |  Yes  |  Yes  | ddribble |
| DownTown                         |  Yes  |  Yes  |Partial|  Yes  | downtown |
| Dr. Toppel's Tankentai           |  Yes  |  Yes  |  Yes  |  Yes  | drtoppel |
| Dragon Breed                     |  Yes  |  Yes  |  Yes  |   No  | dbreed   |
| Dragon Buster                    |  Yes  |  Yes  |  Yes  |  Yes  | drgnbstr |
| Dragon Saber                     |  Yes  |  Yes  |  Yes  |  Yes  | dsaber   |
| Dragon Spirit                    |  Yes  |  Yes  |  Yes  |  Yes  | dspirit  |
| Dream Shopper                    |  Yes  |  Yes  |  Yes  |  Yes  | dremshpr |
| Dream Soccer '94                 |  Yes  |  Yes  |   No  |  Yes  | dsoccr94 |
| Dyger                            |  Yes  |  Yes  |  Yes  |   No  | dyger    |
| Dynamite Duke                    |  Yes  |  Yes  |   No  |  Yes  | dynduke  |
| Dynamite Dux                     |  Yes  |  Yes  |  Yes  |  Yes  | dduxbl   |
| E-Swat                           | No(1) |  Yes  |  Yes  |  Yes  | eswat    |
| Earth Defense Force              |  Yes  |  Yes  |  Yes  |  Yes  | edf      |
| Eight Man                        |  Yes  |  Yes  |  Yes  |  Yes  | eightman |
| Electric Yo-Yo, The              |  Yes  |  Yes  |  Yes  |   No  | elecyoyo |
| Elevator Action                  |  Yes  |  Yes  |  Yes  |  Yes  | elevator |
| Eliminator                       |  Yes  |  Yes  | Yes(2)|  Yes  | elim2    |
| Empire City: 1931                |  Yes  |  Yes  |  Yes  |  Yes  | empcity  |
| Empire Strikes Back, The         |  Yes  |  Yes  |  Yes  |  Yes  | esb      |
| End, The                         |  Yes  |  Yes  |  Yes  |  Yes  | theend   |
| Enduro Racer                     | No(1) |  Yes  |  Yes  |  Yes  | enduror  |
| Escape from the Planet of the Rob|  Yes  |  Yes  |  Yes  |  Yes  | eprom    |
| Espial                           |  Yes  |  Yes  |  Yes  |   No  | espial   |
| Exciting Soccer                  |  Yes  |  Yes  |  Yes  |   No  | exctsccr |
| Exed Exes                        |  Yes  |  Yes  |  Yes  |   No  | exedexes |
| Exerion                          |  Yes  | Close |  Yes  |  Yes  | exerion  |
| Express Raider                   |  Yes  |  Yes  |  Yes  |   No  | exprraid |
| Extermination                    |  Yes  |  Yes  |  Yes  |  Yes  | extrmatn |
| Exterminator                     |  Yes  |  Yes  |  Yes  |  Yes  | exterm   |
| Extra Bases                      |  Yes  |  Yes  |  Yes  |  Yes  | ebases   |
| Extra Innings                    |  Yes  |  Yes  |   No  |  Yes  | einnings |
| Eyes                             |  Yes  |  Yes  |  Yes  |  Yes  | eyes     |
| F-1 Dream                        |  Yes  |  Yes  |  Yes  |   No  | f1dream  |
| F1 Grand Prix Star               |  Yes  |  Yes  |  Yes  |  Yes  | f1gpstar |
| Face Off                         |  Yes  |  Yes  |  Yes  |  Yes  | faceoff  |
| Fantasy                          |  Yes  |  Yes  |Partial|  Yes  | fantasy  |
| Fantasy Zone                     |  Yes  |  Yes  |  Yes  |  Yes  | fantzone |
| Fast Lane                        |   No  | Close |  Yes  |  Yes  | fastlane |
| Faster, Harder, More Challenging |  Yes  |  Yes  |  Yes  |  Yes  | sqbert   |
| Fatal Fury - King of Fighters / G|  Yes  |  Yes  |  Yes  |  Yes  | fatfury1 |
| Fatal Fury 2 / Garou Densetsu 2 -|  Yes  |  Yes  |  Yes  |  Yes  | fatfury2 |
