This is the complete list of games supported by MAME 0.95 (Mar 27 2005).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| B.C. Kid / Bonk's Adventure / Kyu|  Yes  |  Yes  |Partial|  Yes  | bonkadv  |
| B.C. Story                       |  Yes  |  Yes  |  Yes  |  Yes  | bcstry   |
| B.Rap Boys                       |   No  |  Yes  |  Yes  |  Yes  | brapboys |
| BMC Bowling                      |  Yes  |  Yes  |Partial|  Yes  | bmcbowl  |
| Back Street Soccer               |  Yes  |  Yes  |  Yes  |  Yes  | bssoccer |
| Backfire!                        |   No  |  Yes  |   No  |  Yes  | backfire |
| Bad Dudes vs. Dragonninja        |  Yes  |  Yes  |  Yes  |  Yes  | baddudes |
| Bad Lands                        |  Yes  |  Yes  |  Yes  |  Yes  | badlands |
| Bagman                           |  Yes  |  Yes  |  Yes  |  Yes  | bagman   |
| Bakatonosama Mahjong Manyuki     |  Yes  |  Yes  |  Yes  |  Yes  | bakatono |
| Baku Baku Animal                 |  Yes  |  Yes  |   No  |  Yes  | bakubaku |
| Bakuretsu Quiz Ma-Q Dai Bouken   |  Yes  |  Yes  |Partial|  Yes  | bkrtmaq  |
| Bakutotsu Kijuutei               |  Yes  |  Yes  |  Yes  |  Yes  | bakutotu |
| Bal Cube                         |  Yes  |  Yes  |  Yes  |  Yes  | balcube  |
| Balloon Bomber                   |  Yes  |  Yes  |   No  |  Yes  | ballbomb |
| Balloon Brothers                 |  Yes  |  Yes  |  Yes  |  Yes  | ballbros |
| Balloon Fight                    |  Yes  |  Yes  |  Yes  |  Yes  | pc_bfght |
| Baluba-louk no Densetsu          |  Yes  | Close |  Yes  |  Yes  | baluba   |
| Bang Bang Ball                   |  Yes  |  Yes  |  Yes  |  Yes  | bangball |
| Bang Bead                        |  Yes  |  Yes  |  Yes  |  Yes  | bangbead |
| Bang!                            |  Yes  |  Yes  |  Yes  |  Yes  | bang     |
| Bank Panic                       |  Yes  |  Yes  |  Yes  |  Yes  | bankp    |
| Baraduke                         |  Yes  |  Yes  |  Yes  |  Yes  | baraduke |
| Barricade                        |  Yes  |  Yes  |Partial|  Yes  | barricad |
| Barrier                          |  Yes  |  Yes  | Yes(2)|  Yes  | barrier  |
| Baseball                         |  Yes  |  Yes  |  Yes  |  Yes  | pc_bball |
| Baseball Stars 2                 |  Yes  |  Yes  |  Yes  |  Yes  | bstars2  |
| Baseball Stars Professional      |  Yes  |  Yes  |  Yes  |  Yes  | bstars   |
| Baseball Stars: Be a Champ!      |  Yes  |  Yes  |  Yes  |  Yes  | pc_bstar |
| Baseball The Season II           |  Yes  |  Yes  |  Yes  |  Yes  | basebal2 |
| Basketball                       |  Yes  |  Yes  |  Yes  |  Yes  | bsktball |
| Batman                           |  Yes  |  Yes  |  Yes  |  Yes  | batman   |
| Batman Forever                   |   No  |  Yes  |   No  |  Yes  | batmanfr |
| Batsugun                         |  Yes  |  Yes  |Partial|  Yes  | batsugun |
| Battlantis                       |  Yes  |  Yes  |  Yes  |  Yes  | battlnts |
| Battle Arena Toshinden 2         |  Yes  |  Yes  |Partial|  Yes  | ts2      |
| Battle Bakraid                   |  Yes  |  Yes  |  Yes  |  Yes  | bbakraid |
| Battle Chopper                   |  Yes  |  Yes  |  Yes  |   No  | bchopper |
| Battle Circuit                   |  Yes  |  Yes  |  Yes  |  Yes  | batcir   |
| Battle Cross                     |  Yes  |  Yes  |  Yes  |  Yes  | battlex  |
| Battle Cruiser M-12              |  Yes  |  Yes  |  Yes  |  Yes  | bcruzm12 |
| Battle Flip Shot                 |  Yes  |  Yes  |  Yes  |  Yes  | flipshot |
| Battle Garegga - Type 2          |  Yes  |  Yes  |  Yes  |  Yes  | battleg  |
| Battle K-Road                    |  Yes  |  Yes  |  Yes  |  Yes  | btlkroad |
| Battle Lane! Vol. 5              |  Yes  |  Yes  |  Yes  |  Yes  | battlane |
| Battle Rangers                   |  Yes  |  Yes  |Partial|  Yes  | battlera |
| Battle Shark                     |  Yes  |  Yes  |  Yes  |  Yes  | bshark   |
| Battle Toads                     |  Yes  |  Yes  |  Yes  |  Yes  | btoads   |
| Battle Zone                      |  Yes  |  Yes  |  Yes  |  Yes  | bzone    |
| Battle of Atlantis               |  Yes  |  Yes  |  Yes  |  Yes  | atlantis |
| Battle of the Solar System       |   No  |  Yes  |  Yes  |  Yes  | botss    |
| Battle-Road, The                 |  Yes  |  Yes  |  Yes  |  Yes  | battroad |
| Battlecry                        |  Yes  |  Yes  |  Yes  |  Yes  | battlcry |
| Bay Route                        |  Yes  |  Yes  |  Yes  |  Yes  | bayroute |
| Beam Invader                     |  Yes  |  Yes  |   No  |  Yes  | beaminv  |
| Beast Busters                    |  Yes  |  Yes  |  Yes  |  Yes  | bbusters |
| Beastorizer                      |  Yes  |  Yes  |Partial|  Yes  | beastrzr |
| Beastorizer                      |  Yes  |  Yes  |Partial|  Yes  | beastrzb |
| Beat the Champ                   |   No  |  Yes  |Partial|  Yes  | btchamp  |
| BeatHead                         |  Yes  |  Yes  |  Yes  |  Yes  | beathead |
| Bee Storm - DoDonPachi II        |   No  |  Yes  |Partial|  Yes  | ddp2     |
| Beezer                           |  Yes  |  Yes  |Partial|  Yes  | beezer   |
| Behind Enemy Lines               |   No  |  Yes  |  Yes  |  Yes  | bel      |
| Bells & Whistles                 |  Yes  |  Yes  |  Yes  |  Yes  | blswhstl |
| Ben Bero Beh                     |  Yes  | Close |  Yes  |  Yes  | benberob |
| Beraboh Man                      |  Yes  |  Yes  |  Yes  |  Yes  | berabohm |
| Berlin Wall, The                 |  Yes  |  Yes  |  Yes  |  Yes  | berlwall |
| Bermuda Triangle                 |  Yes  |  Yes  |  Yes  |   No  | bermudat |
| Berzerk                          |  Yes  |  Yes  | Yes(2)|  Yes  | berzerk  |
| Best Bout Boxing                 |  Yes  |  Yes  |Partial|  Yes  | bbbxing  |
| Big Bucks                        |  Yes  |  Yes  |  Yes  |  Yes  | bigbucks |
| Big Event Golf                   |  Yes  |  Yes  |  Yes  |  Yes  | bigevglf |
| Big Karnak                       |  Yes  |  Yes  |  Yes  |  Yes  | bigkarnk |
| Big Pro Wrestling!, The          |  Yes  |  Yes  |  Yes  |  Yes  | bigprowr |
| Big Run                          |  Yes  |  Yes  |  Yes  |  Yes  | bigrun   |
| Big Striker                      |  Yes  |  Yes  |  Yes  |  Yes  | bigstrik |
| Big Twin                         |  Yes  |  Yes  |  Yes  |   No  | bigtwin  |
| Bigfoot Bonkers                  |  Yes  |  Yes  |  Yes  |  Yes  | bbonk    |
| Bijokko Gakuen                   |  Yes  |  Yes  |  Yes  |  Yes  | bijokkog |
| Bijokko Yume Monogatari          |  Yes  |  Yes  |  Yes  |  Yes  | bijokkoy |
| Billiard Academy Real Break      |  Yes  |  Yes  |  Yes  |  Yes  | realbrk  |
| Bio Attack                       |  Yes  |  Yes  |  Yes  |  Yes  | bioatack |
| Bio-hazard Battle                |  Yes  |  Yes  |  Yes  |  Yes  | mp_bio   |
| Bio-ship Paladin                 |  Yes  |  Yes  |Partial|  Yes  | bioship  |
| BioFreaks                        |  Yes  |  Yes  |  Yes  |  Yes  | biofreak |
| Biomechanical Toy                |  Yes  |  Yes  |  Yes  |  Yes  | biomtoy  |
| Bionic Commando                  |  Yes  |  Yes  |  Yes  |  Yes  | bionicc  |
| Birdie King                      |  Yes  |  Yes  |  Yes  |  Yes  | bking    |
| Birdie King 2                    |  Yes  |  Yes  |  Yes  |  Yes  | bking2   |
| Birdie King 3                    |  Yes  |  Yes  |  Yes  |  Yes  | bking3   |
| Birdie Try                       |   No  |  Yes  |  Yes  |  Yes  | birdtry  |
| Bishi Bashi Championship Mini Gam|  Yes  |  Yes  |  Yes  |  Yes  | bishi    |
| Bishoujo Janshi Pretty Sailor 18-|  Yes  |  Yes  |  Yes  |  Yes  | psailor1 |
| Bishoujo Janshi Pretty Sailor 2  |  Yes  |  Yes  |  Yes  |  Yes  | psailor2 |
| Black Heart                      |   No  |  Yes  |Partial|  Yes  | blkheart |
| Black Hole                       |  Yes  |  Yes  |  Yes  |  Yes  | blkhole  |
| Black Panther                    |  Yes  |  Yes  |  Yes  |   No  | blkpnthr |
| Black Tiger                      |  Yes  |  Yes  |  Yes  |  Yes  | blktiger |
| Black Widow                      |  Yes  |  Yes  |  Yes  |  Yes  | bwidow   |
| Blade Master                     |  Yes  |  Yes  |  Yes  |  Yes  | bmaster  |
| Blades of Steel                  |  Yes  |  Yes  |  Yes  |  Yes  | bladestl |
| Blandia                          |  Yes  |  Yes  |  Yes  |  Yes  | blandia  |
| Blast Off                        |  Yes  |  Yes  |  Yes  |  Yes  | blastoff |
| Blasted                          |  Yes  |  Yes  |  Yes  |  Yes  | blasted  |
| Blaster                          |  Yes  |  Yes  |  Yes  |  Yes  | blaster  |
| Blasteroids                      |  Yes  |  Yes  |  Yes  |  Yes  | blstroid |
| Blasto                           |  Yes  |  Yes  |Part(2)|  Yes  | blasto   |
| Blaze On                         |  Yes  |  Yes  |  Yes  |  Yes  | blazeon  |
| Blazer                           |  Yes  |  Yes  |  Yes  |  Yes  | blazer   |
| Blazing Star                     |  Yes  |  Yes  |  Yes  |  Yes  | blazstar |
| Blazing Tornado                  |  Yes  |  Yes  |  Yes  |  Yes  | blzntrnd |
| Block Block                      |  Yes  |  Yes  |  Yes  |  Yes  | block    |
| Block Carnival / Thunder & Lightn|  Yes  |  Yes  |  Yes  |  Yes  | blockcar |
| Block Gal                        | No(1) |  Yes  |  Yes  |   No  | blockgal |
| Block Hole                       |  Yes  |  Yes  |  Yes  |  Yes  | blockhl  |
| Block Out                        |  Yes  |  Yes  |  Yes  |  Yes  | blockout |
| Blockade                         |  Yes  |  Yes  |Part(2)|  Yes  | blockade |
| Blocken                          |  Yes  |  Yes  |  Yes  |  Yes  | blocken  |
| Blomby Car                       |  Yes  |  Yes  |  Yes  |  Yes  | blmbycar |
| Blood Bros.                      |  Yes  |  Yes  |  Yes  |   No  | bloodbro |
| Blood Storm                      |  Yes  |  Yes  |  Yes  |  Yes  | bloodstm |
| Blood Warrior                    |   No  |  Yes  |  Yes  |  Yes  | bloodwar |
| Bloody Roar 2                    |  Yes  |  Yes  |Partial|  Yes  | bldyror2 |
| Bloxeed                          |  Yes  |  Yes  |  Yes  |  Yes  | bloxeed  |
| Blue Hawk                        |  Yes  |  Yes  |  Yes  |  Yes  | bluehawk |
| Blue Print                       |  Yes  |  Yes  |  Yes  |  Yes  | blueprnt |
| Blue Shark                       |  Yes  |  Yes  |   No  |  Yes  | blueshrk |
| Blue's Journey / Raguy           |  Yes  |  Yes  |  Yes  |  Yes  | bjourney |
| Boardwalk Casino                 |  Yes  |  Yes  |  Yes  |  Yes  | bwcasino |
| Body Slam                        |  Yes  |  Yes  |  Yes  |  Yes  | bodyslam |
| Bogey Manor                      |  Yes  | Close |  Yes  |  Yes  | bogeyman |
| Boggy '84                        |  Yes  |  Yes  |  Yes  |  Yes  | boggy84  |
| Bomb Bee                         |  Yes  |  Yes  |  Yes  |  Yes  | bombbee  |
| Bomb Jack                        |  Yes  |  Yes  |  Yes  |  Yes  | bombjack |
| Bomber Man World                 |  Yes  |  Yes  |Partial|   No  | bbmanw   |
| Bombjack Twin                    |  Yes  |  Yes  |  Yes  |   No  | bjtwin   |
| Bonanza Bros                     |  Yes  |  Yes  |  Yes  |  Yes  | bnzabros |
| Bonanza Bros.                    |   No  |  Yes  |  Yes  |  Yes  | mt_bbros |
| Bongo                            |  Yes  |  Yes  |  Yes  |  Yes  | bongo    |
| Bonze Adventure                  |  Yes  |  Yes  |  Yes  |  Yes  | bonzeadv |
| Boogie Wings                     |   No  |  Yes  |   No  |  Yes  | boogwing |
| Boomer Rang'r / Genesis          |  Yes  |  Yes  |  Yes  |  Yes  | boomrang |
| Boot Hill                        |  Yes  |  Yes  |Part(2)|  Yes  | boothill |
| Borderline                       |  Yes  |  Yes  | Yes(2)|  Yes  | brdrlinb |
| Borench                          |  Yes  |  Yes  |  Yes  |  Yes  | borench  |
| Born To Fight                    |   No  |  Yes  |   No  |  Yes  | borntofi |
| Bosconian                        |  Yes  |  Yes  | Yes(2)|  Yes  | bosco    |
| Botanic                          |  Yes  |  Yes  |  Yes  |  Yes  | botanic  |
